Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
105,5.0,0.9687,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['penghulu', 'urus', 'masjid', 'sang', 'cipta', 'kota', 'cirebon', 'gelar', 'ikhtiar', 'tolak', 'bala', 'munajat', 'adzan', 'pitu', 'moga', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'moga', 'repeated', 'dokter', 'tim', 'medis', 'indonesia', 'semangat']"
106,0.0,0.9452,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['min', 'allcaps', 'lpdp', 'allcaps', 'number', 'nggk', 'iya', 'min', 'dana', 'didik', 'ahli', 'tanggulang', 'ekonomi', 'covid', 'number']"
107,3.0,0.927,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['leader', 'sebar', 'covid', 'number', 'kale', 'repeated', 'orang', 'antre', 'akibat', 'efek', 'kejut']"
108,6.0,0.927,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['wii', 'repeated', 'dampak', 'covid', 'number', 'warga', 'miskin', 'berita', 'judul', 'isi', 'repeated']"
109,5.0,0.9416,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['manusia', 'manusia', 'salah', 'bentuk', 'hormat', 'sedih', 'lihat', 'jenazah', 'tinggal', 'covid', 'number', 'terima', 'warga', 'makam']"
110,0.0,0.8197,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['ancam', 'sebar', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'dike', 'afifi', 'petisi', 'presiden', 'keluar', 'bijak', 'henti', 'akses', 'transportasi', 'kota', 'tandatangani', 'petisi']"
111,2.0,0.8749,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['yaudah', 'let', 'covid', 'do', 'ur', 'duties']"
112,3.0,0.9123,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['persib', 'potong', 'number', 'persen', 'gaji', 'main', 'corona', 'covid', 'number']"
113,0.0,0.9562,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'landa', 'indonesia', 'hadap', 'musim', 'pancaroba', 'ancam', 'demam', 'darah', 'dengue', 'allcaps', 'dbd', 'allcaps', 'hantu']"
114,4.0,0.9619,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'allah', 'maha', 'kuasa', 'allcaps', 'repeated', 'kisah', 'nyata', 'haru', 'repeated', 'ajar', 'muslimah', 'indonesia', 'kena', 'covid', 'number', 'new', 'york', 'syukur', 'repeated', 'allahu', 'akbar']"
115,5.0,0.9513,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['ngaur', 'mosok', 'tenaga', 'medis', 'tinggal', 'sangkut', 'fatwa', 'mui', 'emngya', 'pasien', 'covid', 'mesjid', 'sumber', 'hadeuh', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
116,5.0,0.8905,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['nihil', 'pasien', 'positif', 'covid', 'number', 'tambah', 'orang']"
117,5.0,0.9453,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['lindung', 'dokter', 'papar', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'bppt', 'allcaps', 'luncur', 'aplikasi', 'mobile', 'covid', 'track']"
118,1.0,0.9124,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['moga', 'insan', 'bocah', 'kontol', 'rasa', 'kena', 'covid', 'number', 'iya']"
119,6.0,0.781,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['gejala', 'covid', 'number']"
120,0.0,0.9687,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['jumat', 'number', 'number', 'sadar', 'masyarakat', 'diam', 'rumah', 'putus', 'sebar', 'virus', 'covid', 'number', 'sadar', 'pantau', 'kijang', 'patroli', 'number', 'klungkung', 'simpang', 'lepang', 'bypass', 'ib', 'mantra', 'klungkung', 'pantau', 'tipis', 'lancar']"
121,6.0,0.9635,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['selamat', 'pagi', 'rute', 'tebet', 'depok', 'sedia', 'pkl', 'time', 'allcaps', 'wib', 'allcaps', 'informasi', 'lengkap', 'jadwal', 'jalan', 'allcaps', 'krl', 'allcaps', 'date', 'lihat', 'website', 'link', 'tks']"
122,0.0,0.9416,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['sayang', 'gorontalo', 'gagal', 'tahan', 'daerah', 'bebas', 'covid', 'number', 'egois', 'kaum', 'enggan', 'tawakal', 'pilih', 'takabur']"
